bird_y,dist_top,dist_bottom,velocity,dist_to_pipe,action
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,0
351.5,120.5,320.5,0,370,1
351.5,120.5,320.5,0,370,1
357.5,114.5,314.5,0,365,0
340.5,131.5,331.5,-10.5,365,1
357.5,114.5,314.5,0,365,0
357.5,114.5,314.5,0,365,0
357.5,114.5,314.5,0,365,0
357.5,114.5,314.5,0,365,0
357.5,114.5,314.5,0,365,0
340.5,131.5,331.5,-10.5,365,1
357.5,114.5,314.5,0,365,0
